sample,location,date,sst
112,Pena_la_Vieja,2020-05-26T00:00:00Z,20.8
113,Pena_la_Vieja,2020-07-06T00:00:00Z,21.4
114,Pena_la_Vieja,2020-08-10T00:00:00Z,22.4
115,Pena_la_Vieja,2020-08-31T00:00:00Z,23
116,Pena_la_Vieja,2020-10-05T00:00:00Z,23.3
117,Pena_la_Vieja,2020-11-02T00:00:00Z,22.6
118,Pena_la_Vieja,2020-12-01T00:00:00Z,21.7
119,Pena_la_Vieja,2021-01-18T00:00:00Z,19.3
120,Pena_la_Vieja,2021-03-02T00:00:00Z,19
121,Pena_la_Vieja,2021-04-14T00:00:00Z,20.3
122,Pena_la_Vieja,2021-05-12T00:00:00Z,20.3
123,Pena_la_Vieja,2021-06-28T00:00:00Z,20.9
124,Pena_la_Vieja,2021-07-27T00:00:00Z,21.4
125,Pena_la_Vieja,2021-12-13T00:00:00Z,20.7
126,Pena_la_Vieja,2022-01-24T00:00:00Z,20
127,Pena_la_Vieja,2022-02-15T00:00:00Z,19
128,Pena_la_Vieja,2022-03-21T00:00:00Z,18.4
129,Pena_la_Vieja,2022-04-18T00:00:00Z,19.3
130,Pena_la_Vieja,2022-05-16T00:00:00Z,21.2
131,Pena_la_Vieja,2022-06-14T00:00:00Z,21.5
132,Pena_la_Vieja,2022-07-28T00:00:00Z,23.6
133,Pena_la_Vieja,2022-08-25T00:00:00Z,22.9
134,Pena_la_Vieja,2022-10-10T00:00:00Z,22.8
135,Pena_la_Vieja,2022-11-10T00:00:00Z,21.2
136,Pena_la_Vieja,2023-01-24T00:00:00Z,19.6
137,Pena_la_Vieja,2023-02-22T00:00:00Z,18.7
138,Pena_la_Vieja,2023-03-30T00:00:00Z,20.2
139,Pena_la_Vieja,2023-04-30T00:00:00Z,NA
140,Cicer,2020-04-28T00:00:00Z,20.3
141,Cicer,2020-05-26T00:00:00Z,20.8
142,Cicer,2020-07-06T00:00:00Z,21.5
143,Cicer,2020-08-10T00:00:00Z,22.4
144,Cicer,2020-08-31T00:00:00Z,23
146,Cicer,2020-11-02T00:00:00Z,22.6
147,Cicer,2020-12-01T00:00:00Z,21.7
148,Cicer,2021-01-18T00:00:00Z,19.3
149,Cicer,2021-03-02T00:00:00Z,19
150,Cicer,2021-04-14T00:00:00Z,20.3
151,Cicer,2021-05-12T00:00:00Z,20.3
152,Cicer,2021-06-28T00:00:00Z,20.9
