sample,location,date,celltype,conc
16,Confital_1,2022-01-24T00:00:00Z,hna,156781.9581
16,Confital_1,2022-01-24T00:00:00Z,lna,54158.08305
17,Confital_1,2022-02-15T00:00:00Z,nanoeuka,92.5183964
17,Confital_1,2022-02-15T00:00:00Z,picoeuka,9955.555556
17,Confital_1,2022-02-15T00:00:00Z,prochloro,4099.346405
17,Confital_1,2022-02-15T00:00:00Z,synecho,5304.052288
17,Confital_1,2022-02-15T00:00:00Z,hna,128808.4137
17,Confital_1,2022-02-15T00:00:00Z,lna,109975.0623
18,Confital_1,2022-03-21T00:00:00Z,nanoeuka,299.2376768
18,Confital_1,2022-03-21T00:00:00Z,picoeuka,4698.947368
18,Confital_1,2022-03-21T00:00:00Z,prochloro,16454.73684
18,Confital_1,2022-03-21T00:00:00Z,synecho,15856.84211
18,Confital_1,2022-03-21T00:00:00Z,hna,66258.26738
18,Confital_1,2022-03-21T00:00:00Z,lna,150178.9006
19,Confital_1,2022-04-18T00:00:00Z,nanoeuka,74.50407462
19,Confital_1,2022-04-18T00:00:00Z,picoeuka,3413.333333
19,Confital_1,2022-04-18T00:00:00Z,prochloro,6056.993464
19,Confital_1,2022-04-18T00:00:00Z,synecho,4626.405229
19,Confital_1,2022-04-18T00:00:00Z,hna,70179.39023
19,Confital_1,2022-04-18T00:00:00Z,lna,63647.33328
20,Confital_1,2022-05-16T00:00:00Z,nanoeuka,93.73574372
20,Confital_1,2022-05-16T00:00:00Z,picoeuka,4362.105263
20,Confital_1,2022-05-16T00:00:00Z,prochloro,12000
20,Confital_1,2022-05-16T00:00:00Z,synecho,11452.63158
20,Confital_1,2022-05-16T00:00:00Z,hna,192041.635
20,Confital_1,2022-05-16T00:00:00Z,lna,115732.4081
21,Confital_1,2022-06-14T00:00:00Z,nanoeuka,56.18340053
21,Confital_1,2022-06-14T00:00:00Z,picoeuka,833.6842105
21,Confital_1,2022-06-14T00:00:00Z,prochloro,9760
21,Confital_1,2022-06-14T00:00:00Z,synecho,6795.789474
21,Confital_1,2022-06-14T00:00:00Z,hna,76146.59005
21,Confital_1,2022-06-14T00:00:00Z,lna,101973.3276
22,Confital_1,2022-07-28T00:00:00Z,nanoeuka,51.29788744
22,Confital_1,2022-07-28T00:00:00Z,picoeuka,4134.736842
22,Confital_1,2022-07-28T00:00:00Z,prochloro,17532.63158
22,Confital_1,2022-07-28T00:00:00Z,synecho,9490.526316
