date,conc
2019-06-10T00:00:00Z,120
2019-07-08T00:00:00Z,160
2019-07-22T00:00:00Z,75
2019-08-05T00:00:00Z,68
2019-08-19T00:00:00Z,19
2019-09-02T00:00:00Z,25
2019-09-16T00:00:00Z,190
2019-10-07T00:00:00Z,71
2019-11-04T00:00:00Z,72
2019-12-02T00:00:00Z,43
2019-12-30T00:00:00Z,17
2020-01-27T00:00:00Z,19
2020-02-24T00:00:00Z,100
2020-03-26T00:00:00Z,13
2020-05-18T00:00:00Z,62
2020-06-15T00:00:00Z,90
2020-07-06T00:00:00Z,0
2020-07-20T00:00:00Z,170
2020-08-03T00:00:00Z,59
2020-08-17T00:00:00Z,7
2020-08-31T00:00:00Z,200
2020-09-14T00:00:00Z,110
2020-09-28T00:00:00Z,79
2021-01-18T00:00:00Z,4
2021-02-15T00:00:00Z,3
2021-03-15T00:00:00Z,10
2021-04-12T00:00:00Z,9
2021-05-10T00:00:00Z,130
2021-06-07T00:00:00Z,150
2021-07-05T00:00:00Z,440
2021-07-19T00:00:00Z,270
2021-08-02T00:00:00Z,50
2021-08-17T00:00:00Z,200
2021-08-30T00:00:00Z,320
2021-09-13T00:00:00Z,23
2021-09-27T00:00:00Z,230
2021-10-25T00:00:00Z,81
2021-11-22T00:00:00Z,10
2021-12-20T00:00:00Z,24
2022-01-24T00:00:00Z,4
2022-02-21T00:00:00Z,4
2022-03-21T00:00:00Z,2
2022-04-18T00:00:00Z,16
2022-05-16T00:00:00Z,180
2022-06-13T00:00:00Z,360
2022-07-04T00:00:00Z,75
2022-07-18T00:00:00Z,160
2022-08-01T00:00:00Z,130
2022-08-16T00:00:00Z,130
2022-08-29T00:00:00Z,320
2022-09-12T00:00:00Z,72
2022-09-26T00:00:00Z,460
2022-10-03T00:00:00Z,110
2022-11-21T00:00:00Z,170
2022-12-19T00:00:00Z,21
2023-01-23T00:00:00Z,8
2023-02-20T00:00:00Z,8
2023-03-20T00:00:00Z,25
2023-04-17T00:00:00Z,29
2023-05-15T00:00:00Z,0
2023-06-12T00:00:00Z,50
2023-07-03T00:00:00Z,65
2023-07-17T00:00:00Z,32
2023-07-31T00:00:00Z,63
2023-08-14T00:00:00Z,0
2023-08-28T00:00:00Z,21
2023-09-11T00:00:00Z,13
2023-09-25T00:00:00Z,1
2023-10-23T00:00:00Z,6
2023-11-20T00:00:00Z,0
2023-12-18T00:00:00Z,4
2024-01-22T00:00:00Z,27
2024-02-19T00:00:00Z,0
2024-03-18T00:00:00Z,0
2024-04-15T00:00:00Z,1
2024-05-13T00:00:00Z,9
2024-06-10T00:00:00Z,12
2024-07-01T00:00:00Z,0
2024-07-15T00:00:00Z,24
2024-07-29T00:00:00Z,0
2024-08-12T00:00:00Z,35
2024-08-26T00:00:00Z,43
2024-09-10T00:00:00Z,1
2024-09-23T00:00:00Z,18
2024-10-14T00:00:00Z,1
