key,date,site,ecoli,ente
22w19-9-CCR,2022-05-10T00:00:00Z,Cicer,1,1
22w21-2-CFS,2022-05-23T00:00:00Z,Confital_2,1,220
22w21-3-PNT,2022-05-24T00:00:00Z,La_Puntilla,1,2
22w21-5-HTI,2022-05-24T00:00:00Z,Reina_Isabel,83,7
22w21-7-PVJ,2022-05-24T00:00:00Z,Pena_la_Vieja,4,1
22w21-9-CCR,2022-05-24T00:00:00Z,Cicer,2,1
22w24-2-CFS,2022-06-13T00:00:00Z,Confital_2,1,1000
22w24-3-PNT,2022-06-14T00:00:00Z,La_Puntilla,14,7
22w24-5-HTI,2022-06-14T00:00:00Z,Reina_Isabel,1,7
22w24-7-PVJ,2022-06-14T00:00:00Z,Pena_la_Vieja,1,1
22w24-9-CCR,2022-06-14T00:00:00Z,Cicer,2,1
22w26-2-CFS,2022-06-27T00:00:00Z,Confital_2,2700,1300
22w26-3-PNT,2022-06-28T00:00:00Z,La_Puntilla,80,45
22w26-3-PNT,2022-06-29T00:00:00Z,La_Puntilla,150,27
22w26-5-HTI,2022-06-28T00:00:00Z,Reina_Isabel,1,2
22w26-7-PVJ,2022-06-28T00:00:00Z,Pena_la_Vieja,2,1
22w26-9-CCR,2022-06-28T00:00:00Z,Cicer,2,2
22w28-3-PNT,2022-07-11T00:00:00Z,La_Puntilla,480,120
22w28-3-PNT,2022-07-14T00:00:00Z,La_Puntilla,6,34
22w28-5-HTI,2022-07-11T00:00:00Z,Reina_Isabel,31,11
22w28-7-PVJ,2022-07-11T00:00:00Z,Pena_la_Vieja,1,1
22w28-9-CCR,2022-07-11T00:00:00Z,Cicer,1,2
22w29-2-CFS,2022-07-18T00:00:00Z,Confital_2,1,180
22w30-2-CFS,2022-07-25T00:00:00Z,Confital_2,2,1600
22w30-3-PNT,2022-07-26T00:00:00Z,La_Puntilla,230,130
22w30-3-PNT,2022-07-27T00:00:00Z,La_Puntilla,12,19
22w30-5-HTI,2022-07-26T00:00:00Z,Reina_Isabel,28,19
22w30-7-PVJ,2022-07-26T00:00:00Z,Pena_la_Vieja,1,2
22w30-9-CCR,2022-07-26T00:00:00Z,Cicer,4,3
22w31-2-CFS,2022-08-01T00:00:00Z,Confital_2,630,100
22w31-3-PNT,2022-08-02T00:00:00Z,La_Puntilla,4,11
22w31-5-HTI,2022-08-02T00:00:00Z,Reina_Isabel,1,20
22w31-7-PVJ,2022-08-02T00:00:00Z,Pena_la_Vieja,1,5
22w31-9-CCR,2022-08-02T00:00:00Z,Cicer,1,3
22w34-2-CFS,2022-08-22T00:00:00Z,Confital_2,42,370
22w34-3-PNT,2022-08-23T00:00:00Z,La_Puntilla,700,50
22w34-3-PNT,2022-08-24T00:00:00Z,La_Puntilla,30,90
22w34-5-HTI,2022-08-23T00:00:00Z,Reina_Isabel,46,4
22w34-7-PVJ,2022-08-23T00:00:00Z,Pena_la_Vieja,2,1
22w34-9-CCR,2022-08-23T00:00:00Z,Cicer,2,2
22w38-2-CFS,2022-09-19T00:00:00Z,Confital_2,3,410
22w38-3-PNT,2022-09-20T00:00:00Z,La_Puntilla,300,90
22w38-3-PNT,2022-09-21T00:00:00Z,La_Puntilla,1600,220
22w38-3-PNT,2022-09-22T00:00:00Z,La_Puntilla,36,50
22w38-5-HTI,2022-09-20T00:00:00Z,Reina_Isabel,140,9
22w38-7-PVJ,2022-09-20T00:00:00Z,Pena_la_Vieja,8,1
22w38-9-CCR,2022-09-20T00:00:00Z,Cicer,6,3
22w42-2-CFS,2022-10-17T00:00:00Z,Confital_2,1,200
22w46-2-CFS,2022-11-14T00:00:00Z,Confital_2,44,110
23w04-2-CFS,2023-01-23T00:00:00Z,Confital_2,3,81
23w07-2-CFS,2023-02-13T00:00:00Z,Confital_2,2,20
23w09-2-CFS,2023-02-27T00:00:00Z,Confital_2,16,11
23w10-2-CFS,2023-03-06T00:00:00Z,Confital_2,1,17
23w13-2-CFS,2023-03-27T00:00:00Z,Confital_2,2,9
23w21-2-CFS,2023-05-24T00:00:00Z,Confital_2,2,48
23w23-2-CFS,2023-06-05T00:00:00Z,Confital_2,160,500
23w25-2-CFS,2023-06-19T00:00:00Z,Confital_2,2,220
23w28-2-CFS,2023-07-10T00:00:00Z,Confital_2,31,90
23w30-2-CFS,2023-07-24T00:00:00Z,Confital_2,5,120
23w32-2-CFS,2023-08-07T00:00:00Z,Confital_2,10,90
23w35-2-CFS,2023-08-28T00:00:00Z,Confital_2,26,150
24w04-2-CFS,2024-01-22T00:00:00Z,Confital_2,NA,NA
24w08-2-CFS,2024-02-21T00:00:00Z,Confital_2,2,32
24w11-2-CFS,2024-03-12T00:00:00Z,Confital_2,1,40
24w15-2-CFS,2024-04-08T00:00:00Z,Confital_2,2,31
24w19-2-CFS,2024-05-06T00:00:00Z,Confital_2,2,56
24w23-2-CFS,2024-06-03T00:00:00Z,Confital_2,2,58
24w25-2-CFS,2024-06-17T00:00:00Z,Confital_2,2,80
24w27-2-CFS,2024-07-03T00:00:00Z,Confital_2,1,1100
24w30-2-CFS,2024-07-22T00:00:00Z,Confital_2,10,320
24w32-2-CFS,2024-08-05T00:00:00Z,Confital_2,3,240
24w35-2-CFS,2024-08-26T00:00:00Z,Confital_2,2,120
24w36-2-CFS,2024-09-02T00:00:00Z,Confital_2,50,200
24w39-2-CFS,2024-09-23T00:00:00Z,Confital_2,2,18
24w41-2-CFS,2024-10-07T00:00:00Z,Confital_2,3,9
24w43-2-CFS,2024-10-23T00:00:00Z,Confital_2,2,32
24w45-2-CFS,2024-11-05T00:00:00Z,Confital_2,1,1
25w03-2-CFS,2025-01-20T00:00:00Z,Confital_2,1,18
25w07-2-CFS,2025-02-17T00:00:00Z,Confital_2,1,23
25w10-2-CFS,2025-03-10T00:00:00Z,Confital_2,2,4
25w14-2-CFS,2025-04-07T00:00:00Z,Confital_2,1,62
