key,date,site,nanoeukaryotes,picoeukaryotes,prochlorococcus,synechococcus,bacteria_hna,bacteria_lna,diatoms,dinoflagellates,silicoflagellates,protozoos,toc,tn,ton,nitrate,nitrite,silicate,phosphate,ammonium,chl_a,sst
23w08-1-CFP,2023-02-22T00:00:00Z,Confital_1,206.4067982,2659.144701,9431.765254,2787.468038,162471.1218,95935.655,NA,NA,NA,NA,74.7,5.4,5.3,0,0,0.49,0,0.1,0,18.7
23w13-1-CFP,2023-03-30T00:00:00Z,Confital_1,491.9140753,3057.22256,8229.796082,10028.61643,163787.3371,135624.4954,NA,NA,NA,NA,70.06,11.79,11.73,0,0,0.28,0,0.06,0,20.2
23w18-1-CFP,2023-04-30T00:00:00Z,Confital_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.82,13.68,13.46,0.2,0,0.65,0,0.02,NA,NA
20w17-2-CFS,2020-04-28T00:00:00Z,Confital_2,902.9546612,11942.35589,9342.105263,11810.77694,247879.1209,222824.1758,NA,NA,NA,NA,72.6,9,8.1,0.01,0,0.28,0.04,0.84,NA,20.3
20w21-2-CFS,2020-05-26T00:00:00Z,Confital_2,507.8053818,2877.739331,10098.03922,4682.814302,157161.2903,92516.12903,NA,NA,NA,NA,70.2,8,7.7,0.04,0,0.06,0.02,0.19,NA,20.8
20w27-2-CFS,2020-07-06T00:00:00Z,Confital_2,501.1113356,2725.490196,23300.65359,9862.745098,215000,126608.6957,NA,NA,NA,NA,102.2,7,5.6,0.2,0.01,0.18,1.46,1.16,NA,21.5
20w32-2-CFS,2020-08-10T00:00:00Z,Confital_2,426.2492474,2261.904762,44837.09273,28916.0401,211153.8462,187252.7473,NA,NA,NA,NA,70.2,5.3,4.4,0.13,0,0.04,0.21,0.82,NA,22.4
20w35-2-CFS,2020-08-31T00:00:00Z,Confital_2,381.8531107,3126.061121,59471.56197,13140.91681,410819.398,157525.0836,NA,NA,NA,NA,72.9,7.6,7.4,0.04,0,0.04,0.08,0.18,NA,23
20w40-2-CFS,2020-10-05T00:00:00Z,Confital_2,556.1154918,3247.028862,35118.8455,5870.118846,422333.0516,120608.6221,NA,NA,NA,NA,82.4,7.7,6.9,0.34,0.01,0.44,0.05,0.5,NA,23.3
20w44-2-CFS,2020-11-02T00:00:00Z,Confital_2,1034.50345,5457.393484,30726.81704,4849.62406,340973.3124,82747.25275,NA,NA,NA,NA,73.5,7.4,6.9,0.26,0.01,0.8,0.03,0.19,NA,22.6
