key,date,site,nanoeukaryotes,picoeukaryotes,prochlorococcus,synechococcus,bacteria_hna,bacteria_lna,diatoms,dinoflagellates,silicoflagellates,protozoos,toc,tn,ton,nitrate,nitrite,silicate,phosphate,ammonium,chl_a,sst
20w35-7-PVJ,2020-08-31T00:00:00Z,Pena_la_Vieja,589.9216787,2266.55348,34972.41087,12529.71138,428779.2642,143929.7659,NA,NA,NA,NA,77.9,7.7,7,0.27,0.02,0.8,0.14,0.33,NA,23
20w40-7-PVJ,2020-10-05T00:00:00Z,Pena_la_Vieja,637.9320567,3149.905123,26432.63757,5698.924731,376304.3478,113478.2609,NA,NA,NA,NA,140.4,7.7,6.9,0.36,0.06,1.42,0,0.43,NA,23.3
20w44-7-PVJ,2020-11-02T00:00:00Z,Pena_la_Vieja,746.4746475,2527.233115,23286.64799,4618.736383,218338.5093,96521.73913,2.6,13.91,0,0.02,52.9,6.9,6,0.38,0.06,1.56,0.1,0.43,NA,22.6
20w48-7-PVJ,2020-12-01T00:00:00Z,Pena_la_Vieja,257.487049,2372.408293,27438.86231,3216.374269,137728.9377,83604.3956,1.23,16.25,0.32,0.01,90.6,11.7,11,0.52,0.06,1.74,0.13,0.21,NA,21.7
21w03-7-PVJ,2021-01-18T00:00:00Z,Pena_la_Vieja,268.4092803,3104.575163,11006.53595,3647.058824,131168.4783,88288.04348,0.36,3.91,0.13,0.01,68.9,10.5,10,0.29,0.02,1.3,0.1,0.15,NA,19.3
21w09-7-PVJ,2021-03-02T00:00:00Z,Pena_la_Vieja,422.7248921,5320.904141,3440.026398,5852.994555,122657.5215,198895.6057,1.31,4.84,0,0,NA,16.7,16.3,0.12,0.01,1.04,0.09,0.26,NA,19
21w15-7-PVJ,2021-04-14T00:00:00Z,Pena_la_Vieja,613.6176887,2733.975015,8128.199877,7833.299201,225775.7437,70874.14188,2.9,5.23,0,0.02,NA,14.4,13.8,0.31,0.04,1.34,0.06,0.22,NA,20.3
21w19-7-PVJ,2021-05-12T00:00:00Z,Pena_la_Vieja,408.0704561,3831.624393,10541.46429,2848.234095,173050.1162,81314.30468,5.83,7.88,0,0.02,71.8,13.9,12.7,0.75,0.05,2.16,0.01,0.34,NA,20.3
21w26-7-PVJ,2021-06-28T00:00:00Z,Pena_la_Vieja,307.1574333,2286.623151,20207.79972,4641.41122,321590.3051,106038.0568,1.51,11.07,0,0.01,80.6,22.3,17.9,3.77,0.19,6.28,0.06,0.44,NA,20.9
21w30-7-PVJ,2021-07-27T00:00:00Z,Pena_la_Vieja,301.359582,2639.517345,9078.779441,3788.142476,197372.8597,62346.02607,1.91,5.25,0.26,0.01,80.6,11.9,10.7,0.82,0.05,1.51,0.05,0.38,NA,21.4
21w50-7-PVJ,2021-12-13T00:00:00Z,Pena_la_Vieja,119.3000375,3187.45098,4417.254902,3128.888889,86425.24124,73316.70823,NA,NA,NA,NA,68.4,6,5,0.675,0.06,1.45,0.12,0.28,0.83,20.7
22w04-7-PVJ,2022-01-24T00:00:00Z,Pena_la_Vieja,107.1265643,4926.315789,2745.263158,2778.947368,69511.0051,93353.57259,NA,NA,NA,NA,59.9,19.5,15.9,3.295,0.06,2.31,0.09,0.25,0.1,20
22w07-7-PVJ,2022-02-15T00:00:00Z,Pena_la_Vieja,65.73675534,5877.894737,3915.789474,2181.052632,70812.10018,56369.9447,NA,NA,NA,NA,61.3,28.2,20.8,7.185,0.07,4.03,0.1,0.21,0.35,19
22w12-7-PVJ,2022-03-21T00:00:00Z,Pena_la_Vieja,145.3440144,3614.117647,7504.313725,8541.699346,43619.21284,112479.6704,NA,NA,NA,NA,62.3,20.5,11.9,8.445,0.08,2.42,0.11,0.11,0.19,18.4
22w16-7-PVJ,2022-04-18T00:00:00Z,Pena_la_Vieja,20.69490446,2116.601307,3998.954248,3890.196078,47717.66237,59460.04554,NA,NA,NA,NA,57.5,20.7,16.8,3.7,0.015,0.41,0,0.12,0.33,19.3
22w20-7-PVJ,2022-05-16T00:00:00Z,Pena_la_Vieja,57.21532409,384.8366013,2626.928105,2166.797386,131188.1586,47204.56922,NA,NA,NA,NA,73.5,46.3,27.4,18.175,0.09,1.495,0.01,0.7,0.14,21.2
22w24-7-PVJ,2022-06-14T00:00:00Z,Pena_la_Vieja,57.21532409,2434.509804,4793.72549,2643.660131,79659.54679,47099.6422,NA,NA,NA,NA,74.2,22.1,18.1,3.72,0.06,0.555,0,0.22,0.36,21.5
22w30-7-PVJ,2022-07-28T00:00:00Z,Pena_la_Vieja,234.5046283,2265.263158,7334.736842,5448.421053,202352.8136,65998.04836,NA,NA,NA,NA,67.5,21.8,17.1,4,0.16,0.475,0,0.49,0.26,23.6
22w34-7-PVJ,2022-08-25T00:00:00Z,Pena_la_Vieja,58.43267141,1338.947368,19242.10526,5734.736842,153999.6163,60573.84012,NA,NA,NA,NA,62.6,19.1,18,0.705,0.07,0.525,0,0.3,0.33,22.9
22w41-7-PVJ,2022-10-10T00:00:00Z,Pena_la_Vieja,393.5489619,1062.232066,6957.976484,2694.790073,111336.6394,29166.18614,NA,NA,NA,NA,69.2,18.7,17.2,1.215,0.04,0.26,0,0.28,1.255,22.8
22w45-7-PVJ,2022-11-10T00:00:00Z,Pena_la_Vieja,490.1136258,1763.537273,11204.48179,1983.094123,108119.0174,74835.65909,NA,NA,NA,NA,83.7,6.5,3.18,2.94,0.08,3.11,0.05,0.28,3.02,21.2
23w04-7-PVJ,2023-01-24T00:00:00Z,Pena_la_Vieja,169.2535745,1475.718373,1703.84875,6687.071661,79883.63139,51031.06015,NA,NA,NA,NA,71.5,7.5,3.38,3.76,0.18,6.16,0.03,0.19,3.94,19.6
23w08-7-PVJ,2023-02-22T00:00:00Z,Pena_la_Vieja,154.117076,2145.99114,3888.280976,1706.877441,157421.2894,69680.54434,NA,NA,NA,NA,78.8,5.2,2.38,2.49,0.08,4.03,0.05,0.3,2.57,18.7
23w13-7-PVJ,2023-03-30T00:00:00Z,Pena_la_Vieja,434.7795793,2454.33593,5261.482649,9840.353118,117460.5005,114588.8594,NA,NA,NA,NA,71.3,11.4,9.8,1.06,0.02,1.2,0.11,0.55,1.08,20.2
23w18-7-PVJ,2023-04-30T00:00:00Z,Pena_la_Vieja,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183.1,14.3,13,1.22,0.11,4.99,0.18,0,NA,NA
20w17-9-CCR,2020-04-28T00:00:00Z,Cicer,620.7159177,6336.756925,7264.239029,5322.128852,229945.0549,175384.6154,NA,NA,NA,NA,79.2,7.4,7.2,0.15,0.02,0.94,0.05,0,NA,20.3
20w21-9-CCR,2020-05-26T00:00:00Z,Cicer,518.0189331,3477.167183,9827.786378,8452.012384,256000,107608.6957,NA,NA,NA,NA,71.1,7,5.7,0.29,0.02,1.04,0.07,1.01,NA,20.8
20w27-9-CCR,2020-07-06T00:00:00Z,Cicer,724.7255338,4572.368421,38809.21053,27907.89474,293362.6374,202461.5385,NA,NA,NA,NA,82.6,7.5,7.1,0.25,0.01,1.14,0.15,0.18,NA,21.5
20w32-9-CCR,2020-08-10T00:00:00Z,Cicer,390.0390039,1378.446115,22976.19048,19223.05764,354725.2747,114461.5385,NA,NA,NA,NA,84.2,8.2,6.3,0.4,0.05,0.94,0.08,1.5,NA,22.4
20w35-9-CCR,2020-08-31T00:00:00Z,Cicer,326.2893454,2479.44339,31448.45035,11979.75965,378010.0334,146086.9565,NA,NA,NA,NA,74.5,6.1,5.6,0.28,0.04,0.7,0.01,0.19,NA,23
20w44-9-CCR,2020-11-02T00:00:00Z,Cicer,915.6915692,8045.112782,45357.14286,8095.238095,441051.8053,132056.5149,NA,NA,NA,NA,62.7,8.3,7.7,0.27,0.06,1.58,0.05,0.3,NA,22.6
20w48-9-CCR,2020-12-01T00:00:00Z,Cicer,596.6415845,4784.688995,59316.85274,7369.750133,195478.2609,162724.6377,NA,NA,NA,NA,88.8,11.5,10.8,0.41,0.01,1.8,0.2,0.29,NA,21.7
21w03-9-CCR,2021-01-18T00:00:00Z,Cicer,493.0824208,4967.320261,27764.70588,7143.79085,186236.413,108953.8043,NA,NA,NA,NA,73.5,7.6,7.2,0.23,0.02,0.84,0.05,0.11,NA,19.3
21w09-9-CCR,2021-03-02T00:00:00Z,Cicer,766.9274526,10078.78238,6323.213991,12058.65369,211869.3327,293408.5096,NA,NA,NA,NA,NA,13.3,13.1,0.09,0.01,0.96,0.08,0.12,NA,19
21w15-9-CCR,2021-04-14T00:00:00Z,Cicer,786.0805014,5859.464408,14227.51202,18512.24537,405737.4205,120569.1151,NA,NA,NA,NA,NA,13.1,12.6,0.49,0,1.74,0.06,0.05,NA,20.3
21w19-9-CCR,2021-05-12T00:00:00Z,Cicer,559.1174309,7140.270401,13375.18107,6705.697731,242283.4384,140092.9306,NA,NA,NA,NA,61.7,11.8,11.7,0.04,0.01,0.78,0,0.06,NA,20.3
21w26-9-CCR,2021-06-28T00:00:00Z,Cicer,288.7619433,3618.937454,22289.92812,7027.183343,518326.7779,98416.07314,NA,NA,NA,NA,66.1,13.4,12.6,0.69,0.03,1.42,0.08,0.14,NA,20.9
